date,open,high,low,close,volume,split,dividend,absoluteChange,percentChange
2/20/2017 0:00,1051.8,1089.99,1044.39,1084,3664.37,,,,
2/21/2017 0:00,1084,1126.86,1077,1124.62,8395.47,,,,
2/22/2017 0:00,1124.83,1143,1098.16,1130.01,11673.09,,,,
2/23/2017 0:00,1130.02,1193.92,1120.73,1188.11,11753.24,,,,
2/24/2017 0:00,1183.53,1220,1091.1,1180.14,19598.23,,,,
2/25/2017 0:00,1180.05,1184.73,1127,1152.2,6238.44,,,,
2/26/2017 0:00,1152.11,1184.97,1133,1179.05,3536.49,,,,
2/27/2017 0:00,1180.46,1197.99,1169,1194.64,4640.77,,,,
2/28/2017 0:00,1194.64,1209.99,1176.27,1191.21,7562.47,,,,
3/1/2017 0:00,1191.16,1231,1188.3,1226.39,6013.07,,,,
3/2/2017 0:00,1228,1283.25,1215,1257.6,7762.73,,,,
3/3/2017 0:00,1256.32,1298,1255,1285.33,7545.48,,,,
3/4/2017 0:00,1287.38,1289.55,1230,1260,4951.23,,,,
3/5/2017 0:00,1260,1275,1240,1273,3026.02,,,,
3/6/2017 0:00,1269.98,1285,1251,1278.49,4249.65,,,,
3/7/2017 0:00,1278.49,1281.62,1175.97,1233.05,14450.04,,,,
3/8/2017 0:00,1233.86,1245.49,1145.5,1150.05,13399.44,,,,
3/9/2017 0:00,1149.34,1208,1135.01,1190.89,7654.74,,,,
3/10/2017 0:00,1190.99,1350,975,1116.97,33467.94,,,,
3/11/2017 0:00,1111.55,1198,1106.51,1176.55,7346.79,,,,
3/12/2017 0:00,1176.58,1241.85,1170.9,1226.62,5793.91,,,,
3/13/2017 0:00,1226.42,1249.02,1215.43,1242.46,5637.36,,,,
3/14/2017 0:00,1242.46,1260,1226.5,1245.86,5745.5,,,,
3/15/2017 0:00,1245.82,1260,1238.32,1257.32,3930.5,,,,
3/16/2017 0:00,1258.75,1258.96,1130,1172.62,15246.55,,,,
3/17/2017 0:00,1172,1173.23,1063,1071.02,16704.57,,,,
3/18/2017 0:00,1068.16,1099,944.36,969.4,21292.6,,,,
3/19/2017 0:00,969.4,1063.7,969.4,1017.97,12201.86,,,,
3/20/2017 0:00,1012.88,1053,1010.01,1035.96,7497.91,,,,
3/21/2017 0:00,1036.23,1117.9,1034.92,1114.39,11125.5,,,,
3/22/2017 0:00,1114.39,1114.39,988,1037.56,14521.26,,,,
3/23/2017 0:00,1037.6,1054.4,1010.69,1029.65,5917,,,,
3/24/2017 0:00,1030.84,1032,920,929.06,16072.42,,,,
3/25/2017 0:00,928.1,963.36,891.33,956.02,13507.44,,,,
3/26/2017 0:00,956.02,997,937.52,960,9012.92,,,,
3/27/2017 0:00,959.08,1043,952.95,1039.92,8687.09,,,,
3/28/2017 0:00,1039.09,1068.26,1014.9,1043.99,9115.52,,,,
3/29/2017 0:00,1042.83,1059.43,1008.16,1035.96,9379.72,,,,
3/30/2017 0:00,1037.29,1050.17,1017.14,1033.7,8645.38,,,,
3/31/2017 0:00,1033.79,1081,1031.43,1070.31,12058.79,,,,
4/1/2017 0:00,1071.34,1097,1061.64,1083.94,5209.13,,,,
4/2/2017 0:00,1083.95,1100,1066.49,1078.01,7639.9,,,,
4/3/2017 0:00,1076.59,1152,1076.19,1144.77,11076.86,,,,
4/4/2017 0:00,1146.42,1162.93,1118.85,1143,7420.87,,,,
4/5/2017 0:00,1143,1145,1111,1134.58,5588.98,,,,
4/6/2017 0:00,1134.86,1201.37,1134.36,1190.85,9134.3,,,,
4/7/2017 0:00,1190.72,1202,1176,1190.66,5450.27,,,,
4/8/2017 0:00,1190.66,1197.3,1166.66,1184.03,2720.8,,,,
4/9/2017 0:00,1184.05,1216.87,1173.98,1206.2,4817.42,,,,
4/10/2017 0:00,1205.2,1219.71,1195,1209.25,3656.82,,,,
4/11/2017 0:00,1209.99,1229,1198.02,1218.99,3487.75,,,,
4/12/2017 0:00,1218.99,1224.57,1208,1212.17,3475.19,,,,
4/13/2017 0:00,1212.16,1219.45,1141,1172.91,7135.3,,,,
